"sep=,"
"time", "wallTime", "Car.color", "Light.color"
1.34, 0.109339654, 3, 3
1.34, 0.109400539, 3, 3
1.345, 0.109735237, 3, 3
1.345, 0.109792745, 3, 3
1.35, 0.110127026, 3, 3
1.35, 0.110187786, 3, 3
1.355, 0.110521969, 3, 3
1.355, 0.110579609, 3, 3
1.36, 0.110913946, 3, 3
1.36, 0.110974748, 3, 3
1.365, 0.11130969, 3, 3
1.365, 0.111367192, 3, 3
1.37, 0.111700226, 3, 3
1.37, 0.111761425, 3, 3
1.375, 0.112095869, 3, 3
1.375, 0.112153332, 3, 3
1.38, 0.112509583, 3, 3
1.38, 0.11257158, 3, 3
1.385, 0.112928037, 3, 3
1.385, 0.112985424, 3, 3
1.39, 0.113375457, 3, 3
1.39, 0.113471708, 3, 3
1.395, 0.113828101, 3, 3
1.395, 0.11388536, 3, 3
1.4, 0.114222739, 3, 3
1.4, 0.11428416, 3, 3
1.405, 0.114631965, 3, 3
1.405, 0.114691077, 3, 3
1.41, 0.115034906, 3, 3
1.41, 0.115097562, 3, 3
1.415, 0.11544082, 3, 3
1.415, 0.115499885, 3, 3
1.42, 0.115846483, 3, 3
1.42, 0.115906449, 3, 3
1.425, 0.116255352, 3, 3
1.425, 0.116314614, 3, 3
1.43, 0.116663324, 3, 3
1.43, 0.116723491, 3, 3
1.435, 0.117068673, 3, 3
1.435, 0.117127815, 3, 3
1.44, 0.117475264, 3, 3
1.44, 0.117534537, 3, 3
1.445, 0.117876846, 3, 3
1.445, 0.117935745, 3, 3
1.45, 0.11828551, 3, 3
1.45, 0.118343298, 3, 3
1.455, 0.118677779, 3, 3
1.455, 0.118735322, 3, 3
1.46, 0.119074024, 3, 3
1.46, 0.119131631, 3, 3
1.465, 0.119466188, 3, 3
1.465, 0.119523685, 3, 3
1.47, 0.119861082, 3, 3
1.47, 0.119918574, 3, 3
1.475, 0.120258813, 3, 3
1.475, 0.120316517, 3, 3
1.48, 0.120655653, 3, 3
1.48, 0.120713674, 3, 3
1.485, 0.121049355, 3, 3
1.485, 0.121106495, 3, 3
1.49, 0.121445656, 3, 3
1.49, 0.121503211, 3, 3
1.495, 0.121839582, 3, 3
1.495, 0.121897092, 3, 3
1.5, 0.122263283, 3, 3
1.5, 0.122320899, 3, 3
1.505, 0.122656196, 3, 3
1.505, 0.122713558, 3, 3
1.51, 0.123052122, 3, 3
1.51, 0.123109554, 3, 3
1.515, 0.123443996, 3, 3
1.515, 0.123501704, 3, 3
1.52, 0.123842132, 3, 3
1.52, 0.123900078, 3, 3
1.525, 0.124240611, 3, 3
1.525, 0.124298018, 3, 3
1.53, 0.124637396, 3, 3
1.53, 0.124694771, 3, 3
1.535, 0.125029746, 3, 3
1.535, 0.125087105, 3, 3
1.54, 0.125426282, 3, 3
1.54, 0.125483694, 3, 3
1.545, 0.125819379, 3, 3
1.545, 0.125876614, 3, 3
1.55, 0.126215615, 3, 3
1.55, 0.126273001, 3, 3
1.555, 0.126607682, 3, 3
1.555, 0.126664984, 3, 3
1.56, 0.127004401, 3, 3
1.56, 0.127061739, 3, 3
1.565, 0.127398114, 3, 3
1.565, 0.127455485, 3, 3
1.575, 0.127795975, 3, 3
1.575, 0.127853245, 3, 3
1.585, 0.128193769, 3, 3
1.585, 0.128251334, 3, 3
1.595, 0.128591534, 3, 3
1.595, 0.128648973, 3, 3
1.605, 0.128983902, 3, 3
1.605, 0.129041364, 3, 3
1.615, 0.129402352, 3, 3
1.615, 0.129481838, 3, 3
1.625, 0.129838792, 3, 3
1.625, 0.129898603, 3, 3
1.635, 0.130234237, 3, 3
1.635, 0.130291458, 3, 3
1.645, 0.13062813, 3, 3
1.645, 0.130688674, 3, 3
1.655, 0.131023879, 3, 3
1.655, 0.131081444, 3, 3
1.665, 0.131417211, 3, 3
1.665, 0.131477913, 3, 3
1.675, 0.131813725, 3, 3
1.675, 0.131871294, 3, 3
1.685, 0.132211443, 3, 3
1.685, 0.132272459, 3, 3
1.695, 0.132608005, 3, 3
1.695, 0.132665645, 3, 3
1.705, 0.133022416, 3, 3
1.705, 0.133082836, 3, 3
1.715, 0.133418624, 3, 3
1.715, 0.133476126, 3, 3
1.725, 0.133812429, 3, 3
1.725, 0.133873424, 3, 3
1.735, 0.13420971, 3, 3
1.735, 0.134267153, 3, 3
1.745, 0.134602565, 3, 3
1.745, 0.134663291, 3, 3
1.755, 0.13500041, 3, 3
1.755, 0.135057951, 3, 3
1.765, 0.135393498, 3, 3
1.765, 0.135454431, 3, 3
1.775, 0.135837932, 3, 3
1.775, 0.135895293, 3, 3
1.785, 0.136330651, 3, 3
1.785, 0.136388118, 3, 3
1.795, 0.136754938, 3, 3
1.795, 0.136816171, 3, 3
1.805, 0.137151743, 3, 3
1.805, 0.137209362, 3, 3
1.815, 0.137546702, 3, 3
1.815, 0.137607819, 3, 3
1.825, 0.137942924, 3, 3
1.825, 0.13800053, 3, 3
1.835, 0.138335849, 3, 3
1.835, 0.138400102, 3, 3
1.845, 0.138735529, 3, 3
1.845, 0.138793013, 3, 3
1.855, 0.13912796, 3, 3
1.855, 0.139188512, 3, 3
1.865, 0.139523211, 3, 3
1.865, 0.139580736, 3, 3
1.875, 0.13991475, 3, 3
1.875, 0.139975767, 3, 3
1.885, 0.140315688, 3, 3
1.885, 0.140373224, 3, 3
1.895, 0.140709317, 3, 3
1.895, 0.140770311, 3, 3
1.905, 0.141197477, 3, 3
1.905, 0.1412578, 3, 3
1.915, 0.141592504, 3, 3
1.915, 0.141649778, 3, 3
1.925, 0.141985916, 3, 3
1.925, 0.142047721, 3, 3
1.935, 0.142383309, 3, 3
1.935, 0.142440655, 3, 3
1.945, 0.142776224, 3, 3
1.945, 0.142837124, 3, 3
1.955, 0.143171785, 3, 3
1.955, 0.143229019, 3, 3
1.965, 0.143564524, 3, 3
1.965, 0.143625612, 3, 3
1.975, 0.14396045, 3, 3
1.975, 0.144017967, 3, 3
1.985, 0.144372449, 3, 3
1.985, 0.144433868, 3, 3
1.995, 0.144768964, 3, 3
1.995, 0.144826516, 3, 3
2.005, 0.145161751, 3, 3
2.005, 0.145222749, 3, 3
2.015, 0.145558273, 3, 3
2.015, 0.145615983, 3, 3
2.025, 0.145995449, 3, 3
2.025, 0.146056567, 3, 3
2.035, 0.146391974, 3, 3
2.035, 0.146449569, 3, 3
2.045, 0.146788115, 3, 3
2.045, 0.146849067, 3, 3
2.055, 0.147184073, 3, 3
2.055, 0.147241386, 3, 3
2.065, 0.14758045, 3, 3
2.065, 0.147639009, 3, 3
2.075, 0.147973299, 3, 3
2.075, 0.148030837, 3, 3
2.085, 0.148374533, 3, 3
2.085, 0.148432432, 3, 3
2.095, 0.148767482, 3, 3
2.095, 0.148824873, 3, 3
2.105, 0.149162177, 3, 3
2.105, 0.149220116, 3, 3
2.115, 0.149556777, 3, 3
2.115, 0.149614621, 3, 3
2.125, 0.149952531, 3, 3
2.125, 0.150010269, 3, 3
2.135, 0.150345244, 3, 3
2.135, 0.150402854, 3, 3
2.145, 0.150762421, 3, 3
2.145, 0.150820112, 3, 3
2.155, 0.1511554, 3, 3
2.155, 0.151212772, 3, 3
2.165, 0.151550409, 3, 3
2.165, 0.151607954, 3, 3
2.175, 0.151942912, 3, 3
2.175, 0.152000354, 3, 3
2.185, 0.152344425, 3, 3
2.185, 0.152402227, 3, 3
2.195, 0.152737768, 3, 3
2.195, 0.152795238, 3, 3
2.205, 0.153133965, 3, 3
2.205, 0.153191368, 3, 3
2.215, 0.153526393, 3, 3
2.215, 0.153583882, 3, 3
2.225, 0.15392325, 3, 3
2.225, 0.153980752, 3, 3
2.235, 0.154316685, 3, 3
2.235, 0.154374113, 3, 3
2.245, 0.15471597, 3, 3
2.245, 0.154773455, 3, 3
2.255, 0.155108279, 3, 3
2.255, 0.155165692, 3, 3
2.265, 0.155504003, 3, 3
2.265, 0.155561343, 3, 3
2.275, 0.155897661, 3, 3
2.275, 0.155955027, 3, 3
2.285, 0.156298784, 3, 3
2.285, 0.156356176, 3, 3
2.295, 0.156690797, 3, 3
2.295, 0.156748012, 3, 3
2.305, 0.157086694, 3, 3
2.305, 0.157144111, 3, 3
2.315, 0.157479883, 3, 3
2.315, 0.157540516, 3, 3
2.325, 0.157876886, 3, 3
2.325, 0.157934336, 3, 3
2.335, 0.158269082, 3, 3
2.335, 0.158329658, 3, 3
2.345, 0.15866522, 3, 3
2.345, 0.158722567, 3, 3
2.355, 0.159057713, 3, 3
2.355, 0.159118372, 3, 3
2.365, 0.159453401, 3, 3
2.365, 0.1595109, 3, 3
2.375, 0.159845575, 3, 3
2.375, 0.159906113, 3, 3
2.385, 0.160246063, 3, 3
2.385, 0.160303761, 3, 3
2.395, 0.160641579, 3, 3
2.395, 0.160702839, 3, 3
2.405, 0.161036775, 3, 3
2.405, 0.161094229, 3, 3
2.415, 0.161429798, 3, 3
2.415, 0.161490756, 3, 3
2.425, 0.161858051, 3, 3
2.425, 0.161915325, 3, 3
2.435, 0.162251023, 3, 3
2.435, 0.162312039, 3, 3
2.445, 0.162645803, 3, 3
2.445, 0.162703099, 3, 3
2.455, 0.163041481, 3, 3
2.455, 0.163102388, 3, 3
2.465, 0.163436848, 3, 3
2.465, 0.163494221, 3, 3
2.475, 0.163832051, 3, 3
2.475, 0.163890295, 3, 3
2.485, 0.164231919, 3, 3
2.485, 0.164289597, 3, 3
2.495, 0.164628668, 3, 3
2.495, 0.164686518, 3, 3
2.505, 0.165021548, 3, 3
2.505, 0.165079197, 3, 3
2.515, 0.165417185, 3, 3
2.515, 0.165474944, 3, 3
2.525, 0.16580986, 3, 3
2.525, 0.165867174, 3, 3
2.535, 0.166205393, 3, 3
2.535, 0.166263272, 3, 3
2.545, 0.166600197, 3, 3
2.545, 0.166657665, 3, 3
2.555, 0.166996085, 3, 3
2.555, 0.167053608, 3, 3
2.565, 0.167389628, 3, 3
2.565, 0.167446801, 3, 3
2.575, 0.16778653, 3, 3
2.575, 0.167844208, 3, 3
2.585, 0.168185783, 3, 3
2.585, 0.168243439, 3, 3
2.595, 0.168582369, 3, 3
2.595, 0.168639792, 3, 3
2.605, 0.168974572, 3, 3
2.605, 0.169032011, 3, 3
2.615, 0.16940163, 3, 3
2.615, 0.169458993, 3, 3
2.625, 0.16979367, 3, 3
2.625, 0.169851203, 3, 3
2.635, 0.170218125, 3, 3
2.635, 0.170275742, 3, 3
2.645, 0.170611591, 3, 3
2.645, 0.170674895, 3, 3
2.655, 0.171010612, 3, 3
2.655, 0.171068221, 3, 3
2.665, 0.171405188, 3, 3
2.665, 0.17146633, 3, 3
2.675, 0.171800942, 3, 3
2.675, 0.17185828, 3, 3
2.685, 0.172198972, 3, 3
2.685, 0.172260333, 3, 3
2.695, 0.172595579, 3, 3
2.695, 0.172653309, 3, 3
2.705, 0.172989441, 3, 3
2.705, 0.173050359, 3, 3
2.715, 0.173386851, 3, 3
2.715, 0.173444372, 3, 3
2.725, 0.1737803, 3, 3
2.725, 0.173841593, 3, 3
2.735, 0.174176458, 3, 3
2.735, 0.174233793, 3, 3
2.745, 0.174568842, 3, 3
2.745, 0.174629819, 3, 3
2.755, 0.17496745, 3, 3
2.755, 0.175024994, 3, 3
2.765, 0.175360182, 3, 3
2.765, 0.175421224, 3, 3
2.775, 0.1757562, 3, 3
2.775, 0.175813845, 3, 3
2.785, 0.176178451, 3, 3
2.785, 0.176252341, 3, 3
2.795, 0.17658772, 3, 3
2.795, 0.176644863, 3, 3
2.805, 0.176982988, 3, 3
2.805, 0.177040896, 3, 3
2.815, 0.177398776, 3, 3
2.815, 0.177456313, 3, 3
2.825, 0.177793219, 3, 3
2.825, 0.177850876, 3, 3
2.835, 0.178232455, 3, 3
2.835, 0.178289711, 3, 3
