"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0202,4.67093,0,0,0,0,0,0
0.0203,4.67094,0,0,0,0,0,0
0.0204,4.67095,0,0,0,0,0,0
0.0205,4.67097,0,0,0,0,0,0
0.0206,4.67101,0,0,0,0,0,0
0.0207,4.67103,0,0,0,0,0,0
0.0208,4.67104,0,0,0,0,0,0
0.0209,4.67105,0,0,0,0,0,0
0.021,4.67107,0,0,0,0,0,0
0.0211,4.67111,0,0,0,0,0,0
0.0212,4.67112,0,0,0,0,0,0
0.0213,4.67113,0,0,0,0,0,0
0.0214,4.67115,0,0,0,0,0,0
0.0215,4.67116,0,0,0,0,0,0
0.0216,4.6712,0,0,0,0,0,0
0.0217,4.67121,0,0,0,0,0,0
0.0218,4.67122,0,0,0,0,0,0
0.0219,4.67123,0,0,0,0,0,0
0.022,4.67125,0,0,0,0,0,0
0.0221,4.67129,0,0,0,0,0,0
0.0222,4.67131,0,0,0,0,0,0
0.0223,4.67133,0,0,0,0,0,0
0.0224,4.67134,0,0,0,0,0,0
0.0225,4.67136,0,0,0,0,0,0
0.0226,4.67141,0,0,0,0,0,0
0.0227,4.67142,0,0,0,0,0,0
0.0228,4.67144,0,0,0,0,0,0
0.0229,4.67145,0,0,0,0,0,0
0.023,4.67146,0,0,0,0,0,0
0.0231,4.67151,0,0,0,0,0,0
0.0232,4.67152,0,0,0,0,0,0
0.0233,4.67153,0,0,0,0,0,0
0.0234,4.67155,0,0,0,0,0,0
0.0235,4.67157,0,0,0,0,0,0
0.0236,4.67161,0,0,0,0,0,0
0.0237,4.67163,0,0,0,0,0,0
0.0238,4.67164,0,0,0,0,0,0
0.0239,4.67165,0,0,0,0,0,0
0.024,4.67166,0,0,0,0,0,0
0.0241,4.6717,0,0,0,0,0,0
0.0242,4.67171,0,0,0,0,0,0
0.0243,4.67172,0,0,0,0,0,0
0.0244,4.67173,0,0,0,0,0,0
0.0245,4.67174,0,0,0,0,0,0
0.0246,4.67179,0,0,0,0,0,0
0.0247,4.6718,0,0,0,0,0,0
0.0248,4.67181,0,0,0,0,0,0
0.0249,4.67182,0,0,0,0,0,0
0.025,4.67183,0,0,0,0,0,0
0.0251,4.67187,0,0,0,0,0,0
0.0252,4.67188,0,0,0,0,0,0
0.0253,4.67189,0,0,0,0,0,0
0.0254,4.6719,0,0,0,0,0,0
0.0255,4.67192,0,0,0,0,0,0
0.0256,4.67196,0,0,0,0,0,0
0.0257,4.67197,0,0,0,0,0,0
0.0258,4.67198,0,0,0,0,0,0
0.0259,4.672,0,0,0,0,0,0
0.026,4.67201,0,0,0,0,0,0
0.0261,4.67206,0,0,0,0,0,0
0.0262,4.67207,0,0,0,0,0,0
0.0263,4.67208,0,0,0,0,0,0
0.0264,4.67209,0,0,0,0,0,0
0.0265,4.6721,0,0,0,0,0,0
0.0266,4.67215,0,0,0,0,0,0
0.0267,4.67216,0,0,0,0,0,0
0.0268,4.67218,0,0,0,0,0,0
0.0269,4.67219,0,0,0,0,0,0
0.027,4.6722,0,0,0,0,0,0
0.0271,4.67224,0,0,0,0,0,0
0.0272,4.67226,0,0,0,0,0,0
0.0273,4.67227,0,0,0,0,0,0
0.0274,4.67229,0,0,0,0,0,0
