"time","wallTime","wc2.out","wc1.out"
0.0539,1.6151,0.785767,0.62985
0.054,1.6151,0.788351,0.630942
0.0541,1.61511,0.790935,0.632034
0.0542,1.61511,0.793519,0.633126
0.0543,1.61511,0.796103,0.634217
0.0544,1.61511,0.798687,0.635309
0.0545,1.61511,0.801271,0.636401
0.0546,1.61511,0.803855,0.637493
0.0547,1.61511,0.806439,0.638584
0.0548,1.61511,0.809023,0.639676
0.0549,1.61511,0.811607,0.640768
0.055,1.61511,0.814191,0.64186
0.0551,1.61512,0.816692,0.642888
0.0552,1.61512,0.819193,0.643917
0.0553,1.61512,0.821694,0.644946
0.0554,1.61512,0.824195,0.645975
0.0555,1.61512,0.826696,0.647004
0.0556,1.61512,0.829197,0.648033
0.0557,1.61512,0.831698,0.649062
0.0558,1.61512,0.834199,0.65009
0.0559,1.61512,0.8367,0.651119
0.056,1.61512,0.839201,0.652148
0.0561,1.61512,0.841702,0.653177
0.0562,1.61512,0.844203,0.654206
0.0563,1.61512,0.846704,0.655235
0.0564,1.61512,0.849205,0.656263
0.0565,1.61513,0.851706,0.657292
0.0566,1.61513,0.854207,0.658321
0.0567,1.61513,0.856708,0.65935
0.0568,1.61513,0.859209,0.660379
0.0569,1.61513,0.86171,0.661408
0.057,1.61513,0.864211,0.662436
0.0571,1.61513,0.866712,0.663465
0.0572,1.61513,0.869213,0.664494
0.0573,1.61513,0.871714,0.665523
0.0574,1.61513,0.874215,0.666552
0.0575,1.61513,0.876716,0.667581
0.0576,1.61513,0.879217,0.668609
0.0577,1.61513,0.881718,0.669638
0.0578,1.61513,0.884219,0.670667
0.0579,1.61513,0.88672,0.671696
0.058,1.61514,0.889221,0.672725
0.0581,1.61514,0.891722,0.673754
0.0582,1.61514,0.894223,0.674783
0.0583,1.61514,0.896725,0.675811
0.0584,1.61514,0.899226,0.67684
0.0585,1.61514,0.901727,0.677869
0.0586,1.61514,0.904228,0.678898
0.0587,1.61514,0.906729,0.679927
0.0588,1.61514,0.90923,0.680956
0.0589,1.61514,0.911731,0.681984
0.059,1.61514,0.914232,0.683013
0.0591,1.61514,0.916733,0.684042
0.0592,1.61514,0.919234,0.685071
0.0593,1.61514,0.921735,0.6861
0.0594,1.61515,0.924236,0.687129
0.0595,1.61515,0.926737,0.688157
0.0596,1.61515,0.929238,0.689186
0.0597,1.61515,0.931739,0.690215
0.0598,1.61515,0.93424,0.691244
0.0599,1.61515,0.936741,0.692273
0.06,1.61515,0.939242,0.693302
0.0601,1.61515,0.941648,0.694263
0.0602,1.61516,0.944054,0.695225
0.0603,1.61516,0.94646,0.696187
0.0604,1.61516,0.948866,0.697149
0.0605,1.61516,0.951272,0.698111
0.0606,1.61516,0.953678,0.699072
0.0607,1.61516,0.956085,0.700034
0.0608,1.61516,0.958491,0.700996
0.0609,1.61516,0.960897,0.701958
0.061,1.61516,0.963303,0.70292
0.0611,1.61516,0.965709,0.703881
0.0612,1.61516,0.968115,0.704843
0.0613,1.61516,0.970521,0.705805
0.0614,1.61516,0.972927,0.706767
0.0615,1.61516,0.975333,0.707728
0.0616,1.61517,0.977739,0.70869
0.0617,1.61517,0.980146,0.709652
0.0618,1.61517,0.982552,0.710614
0.0619,1.61517,0.984958,0.711576
0.062,1.61517,0.987364,0.712537
0.0621,1.61517,0.98977,0.713499
0.0622,1.61517,0.992176,0.714461
0.0623,1.61517,0.994582,0.715423
0.0624,1.61517,0.996988,0.716385
0.0625,1.61517,0.999394,0.717346
0.0626,1.61517,1.0018,0.718308
0.0627,1.61517,1.00421,0.71927
0.0628,1.61517,1.00661,0.720232
0.0629,1.61517,1.00902,0.721193
0.063,1.61518,1.01142,0.722155
0.0631,1.61518,1.01383,0.723117
0.0632,1.61518,1.01624,0.724079
0.0633,1.61518,1.01864,0.725041
0.0634,1.61518,1.02105,0.726002
0.0635,1.61518,1.02346,0.726964
0.0636,1.61518,1.02586,0.727926
0.0637,1.61518,1.02827,0.728888
0.0638,1.61518,1.03067,0.729849
0.0639,1.61518,1.03308,0.730811
0.064,1.61518,1.03549,0.731773
0.0641,1.61518,1.03789,0.732735
0.0642,1.61518,1.0403,0.733697
